filename,text,age,gender,accent
cv-valid-train/sample-000005.mp3,a shepherd may like to travel but he should never forget about his sheep,twenties,female,us
cv-valid-train/sample-000008.mp3,put jackie right on the staff,seventies,male,us
cv-valid-train/sample-000013.mp3,but he had found a guide and didn't want to miss out on an opportunity,thirties,female,us
cv-valid-train/sample-000023.mp3,i had seen all that it would presently bring me,thirties,male,us
cv-valid-train/sample-000034.mp3,i have had the same dream twice he said,fourties,female,us
cv-valid-train/sample-000047.mp3,most of them were staring quietly at the big table,sixties,male,us
cv-valid-train/sample-000051.mp3,so the boy was disappointed he decided that he would never again believe in dreams,thirties,female,us
cv-valid-train/sample-000059.mp3,finally a young woman approached who was not dressed in black,twenties,female,us
cv-valid-train/sample-000065.mp3,you're looking for witch doctors he spoke some verses from the koran and moved on,twenties,male,us
cv-valid-train/sample-000072.mp3,the charcoal burned away to white ash,fifties,male,us
cv-valid-train/sample-000073.mp3,the greatest authority on meteorites stated that the height of its first appearance was about ninety or one hundred miles,twenties,male,us
cv-valid-train/sample-000077.mp3,it was faintly marked with transverse stripes and slightly flattened from the perfect round,fourties,female,us
cv-valid-train/sample-000081.mp3,the shop is exactly the size i always wanted it to be,fifties,male,us
cv-valid-train/sample-000082.mp3,how do you handle the negative weights,fifties,male,us
cv-valid-train/sample-000088.mp3,all this happened between sunrise and sunset the boy thought,teens,female,us
cv-valid-train/sample-000097.mp3,it's late in the evening a perfect time for coffee,twenties,male,us
cv-valid-train/sample-000118.mp3,his hands were abraded and exhausted but he listened to his heart,thirties,male,us
cv-valid-train/sample-000132.mp3,with the girl with the raven hair his days would never be the same again,sixties,male,us
cv-valid-train/sample-000140.mp3,he had been so far away that his face wasn't even visible,fourties,male,us
cv-valid-train/sample-000146.mp3,they were strange books,twenties,male,us
cv-valid-train/sample-000159.mp3,he was alarmed by what had happened,teens,female,us
cv-valid-train/sample-000168.mp3,the alarm clock was set for twenty past three,thirties,male,us
cv-valid-train/sample-000181.mp3,show me where there is life out in the desert,fourties,male,us
cv-valid-train/sample-000184.mp3,the boy was shocked,teens,female,us
cv-valid-train/sample-000194.mp3,they filled three sacks,twenties,male,us
cv-valid-train/sample-000195.mp3,ogilvy watched till one and then gave up,fourties,male,us
cv-valid-train/sample-000196.mp3,this is the morning post you're talking to,twenties,female,us
cv-valid-train/sample-000197.mp3,you will spend that hour getting acquainted with marshall bailey,thirties,male,us
cv-valid-train/sample-000202.mp3,i'm the king of salem the old man had said,fifties,male,us
cv-valid-train/sample-000204.mp3,our merchants bought that man and brought him to egypt,thirties,male,us
cv-valid-train/sample-000217.mp3,gives you an idea of the season,twenties,female,us
cv-valid-train/sample-000221.mp3,the strange horseman drew an enormous curved sword from a scabbard mounted on his saddle,thirties,female,us
cv-valid-train/sample-000225.mp3,stove's hotter than i thought,fourties,male,us
cv-valid-train/sample-000229.mp3,you think it's easy,teens,male,us
cv-valid-train/sample-000238.mp3,this is a trick to get your sympathy,twenties,male,us
cv-valid-train/sample-000239.mp3,it's extremely suspicious that there's no information about brains that didn't come from a brain,thirties,male,us
cv-valid-train/sample-000243.mp3,mostly just the hearts of those who are trying to realize their destinies,twenties,male,us
cv-valid-train/sample-000250.mp3,how much is it worth,fourties,male,us
cv-valid-train/sample-000274.mp3,i was wondering if you could tell me a bit more about what it's like to live and work there,teens,male,us
cv-valid-train/sample-000277.mp3,there is a reptile in my western shoes,twenties,male,us
